date,Accueil,Ana_Sayfa,Facebook,Hauptseite,Hoofdpagina,Mark_Zuckerberg,Portal:Huvudsida,Specjalna:Szukaj,Wiki,index.html
2011-02-14 22:00:00,4357.0,4042.0,6503.0,11504.0,13053.0,3844.0,8080.0,6031.0,5738.0,3042.0
2011-02-14 23:00:00,2943.0,3043.0,6304.0,8921.0,8408.0,3830.0,5000.0,4111.0,5431.0,3095.0
2011-02-15 00:00:00,0.0,0.0,5198.0,5124.0,4779.0,3352.0,2720.0,2331.0,4666.0,2801.0
2011-02-15 01:00:00,0.0,0.0,4908.0,2775.0,2922.0,2962.0,0.0,0.0,4550.0,3503.0
2011-02-15 02:00:00,0.0,0.0,5047.0,0.0,2110.0,2802.0,0.0,0.0,4422.0,18085.0
2011-02-15 03:00:00,0.0,0.0,4651.0,0.0,0.0,3127.0,0.0,0.0,4385.0,11154.0
2011-02-15 04:00:00,0.0,0.0,4746.0,0.0,0.0,3670.0,0.0,0.0,4265.0,3082.0
2011-02-15 05:00:00,0.0,0.0,4769.0,0.0,1899.0,3726.0,0.0,0.0,3717.0,3368.0
2011-02-15 06:00:00,0.0,0.0,3884.0,4518.0,2746.0,2836.0,0.0,0.0,3240.0,5179.0
2011-02-15 07:00:00,0.0,0.0,4215.0,10549.0,4466.0,2321.0,2478.0,0.0,3064.0,3284.0
2011-02-15 08:00:00,2858.0,2192.0,4163.0,15729.0,9159.0,1927.0,5883.0,1986.0,2803.0,3424.0
2011-02-15 09:00:00,4080.0,3092.0,0.0,19858.0,14413.0,0.0,8154.0,2628.0,3090.0,3461.0
2011-02-15 10:00:00,4454.0,3619.0,4735.0,19357.0,15284.0,0.0,9769.0,3426.0,3813.0,3515.0
2011-02-15 11:00:00,5016.0,3360.0,4965.0,19684.0,17845.0,0.0,8592.0,3647.0,3942.0,3289.0
2011-02-15 12:00:00,4367.0,4524.0,4899.0,20521.0,14981.0,0.0,9056.0,3850.0,4188.0,3252.0
2011-02-15 13:00:00,5529.0,5667.0,5466.0,19640.0,17602.0,0.0,9979.0,4558.0,4539.0,2977.0
2011-02-15 14:00:00,5754.0,6440.0,6186.0,20182.0,19302.0,0.0,9217.0,4619.0,5071.0,3106.0
2011-02-15 15:00:00,6273.0,6792.0,6708.0,20015.0,18583.0,2863.0,8769.0,5189.0,6007.0,2806.0
2011-02-15 16:00:00,6105.0,7500.0,6901.0,17764.0,19258.0,3112.0,8799.0,5919.0,5746.0,0.0
2011-02-15 17:00:00,7178.0,7524.0,6880.0,15161.0,17312.0,3070.0,8903.0,6184.0,6103.0,0.0
2011-02-15 18:00:00,6203.0,8096.0,7052.0,13987.0,16868.0,3237.0,8933.0,6607.0,6121.0,0.0
2011-02-15 19:00:00,6089.0,7430.0,6987.0,14693.0,18939.0,3289.0,9580.0,7048.0,5956.0,0.0
2011-02-15 20:00:00,5583.0,6425.0,6985.0,14192.0,18861.0,3250.0,9918.0,7129.0,6011.0,0.0
2011-02-15 21:00:00,5058.0,5075.0,6614.0,13189.0,17562.0,3290.0,9424.0,6818.0,6246.0,0.0
2011-02-15 22:00:00,4655.0,4210.0,6242.0,11018.0,13684.0,0.0,7967.0,5636.0,6167.0,0.0
2011-02-15 23:00:00,3210.0,2845.0,5578.0,7545.0,9204.0,3298.0,5136.0,4141.0,5570.0,0.0
