date,Accueil,Deaths_in_2011,Facebook,File:Hardy_boys_cover_09.jpg,Glee_(TV_series),Google,Mark_Zuckerberg,Ngai.cc,United_States,initial
2011-01-03,87731.0,77733.0,108809.0,0.0,63080.0,55504.0,91184.0,95347.0,0.0,63167.0
2011-01-04,84542.0,77578.0,104731.0,0.0,60689.0,0.0,82566.0,96004.0,0.0,65630.0
2011-01-05,85900.0,85668.0,102465.0,0.0,73095.0,51877.0,68252.0,97586.0,52403.0,71463.0
2011-01-06,86467.0,71956.0,96418.0,0.0,56597.0,65237.0,57096.0,96532.0,0.0,74629.0
2011-01-07,82789.0,70000.0,93456.0,0.0,56754.0,68040.0,70739.0,97106.0,0.0,73669.0
2011-01-08,70817.0,66020.0,85729.0,0.0,53476.0,60065.0,69444.0,97476.0,0.0,65830.0
2011-01-09,78546.0,64390.0,127461.0,0.0,63021.0,57704.0,105614.0,96762.0,0.0,75184.0
2011-01-10,85011.0,81358.0,114659.0,308296.0,88374.0,79566.0,101734.0,97830.0,67001.0,74096.0
2011-01-11,82544.0,78024.0,119501.0,852747.0,74367.0,73320.0,90863.0,98356.0,84917.0,73580.0
2011-01-12,83584.0,80476.0,137927.0,298705.0,78173.0,73330.0,139964.0,100690.0,85240.0,75979.0
2011-01-13,82584.0,75935.0,133814.0,0.0,55614.0,74414.0,131605.0,103223.0,88095.0,74767.0
2011-01-14,78802.0,73364.0,164835.0,267800.0,0.0,72671.0,120760.0,100975.0,78603.0,70305.0
2011-01-15,68159.0,61061.0,127040.0,188201.0,60029.0,60846.0,139477.0,96230.0,67128.0,72272.0
2011-01-16,77169.0,71204.0,125591.0,0.0,69028.0,60279.0,156833.0,96558.0,66670.0,75717.0
2011-01-17,91118.0,76292.0,157065.0,0.0,135477.0,70366.0,220476.0,97253.0,80647.0,66076.0
2011-01-18,83636.0,77627.0,136315.0,0.0,84993.0,73973.0,152017.0,102274.0,80665.0,0.0
2011-01-19,81927.0,75191.0,122810.0,0.0,80998.0,75814.0,114087.0,107207.0,86267.0,78494.0
2011-01-20,79618.0,71499.0,116057.0,0.0,59449.0,78667.0,98243.0,100327.0,90062.0,75631.0
2011-01-21,78383.0,75948.0,104725.0,0.0,58934.0,83838.0,93619.0,106136.0,84837.0,88722.0
2011-01-22,74315.0,57569.0,116379.0,0.0,63416.0,62246.0,116723.0,103918.0,69224.0,85616.0
2011-01-23,79530.0,59744.0,118269.0,0.0,64945.0,62426.0,133371.0,96740.0,74874.0,79774.0
2011-01-24,86892.0,80015.0,129383.0,0.0,75694.0,63210.0,117947.0,112336.0,89489.0,89167.0
2011-01-25,87821.0,74205.0,124804.0,0.0,62279.0,68665.0,80164.0,122275.0,87489.0,90577.0
2011-01-26,87197.0,73415.0,118743.0,0.0,68851.0,74926.0,84914.0,119226.0,87680.0,77693.0
2011-01-27,83178.0,77286.0,126295.0,0.0,52229.0,69624.0,80467.0,120746.0,80845.0,76494.0
2011-01-28,76071.0,75374.0,107615.0,0.0,0.0,63298.0,60854.0,115403.0,78102.0,0.0
2011-01-29,75290.0,58765.0,109970.0,0.0,48727.0,61805.0,74356.0,112101.0,63489.0,44841.0
2011-01-30,79325.0,59399.0,126543.0,0.0,0.0,65128.0,126258.0,120469.0,67424.0,0.0
2011-01-31,86418.0,76488.0,137331.0,0.0,69269.0,79770.0,127391.0,135986.0,87874.0,0.0
2011-02-01,83683.0,77026.0,125837.0,0.0,62209.0,76937.0,84125.0,134267.0,83291.0,0.0
